ID,Name,Age,CustomerSince,HighestSpend,ZipCode,HiddenScore,MonthlyAverageSpend,Level,Address,Email,Phone,DateOfBirth,AccountType,Balance,LoanAmount,Income
26,Peter Mcdowell,69,2014,28922,99120,784,3301.4,4,"338 Pamela Knoll Suite 370, Carterfort, OK 90755",fowlerdarren@example.org,1234567915,06-10-1970,Savings,16812.86,29243.84,144316.07
27,Sarah Villanueva,34,2014,26170,45601,311,6909.68,5,"327 Alicia Turnpike Apt. 969, Brittanyburgh, WV 95062",garzamichele@example.com,1234567916,25-01-1989,Savings,26019.48,519.63,26336.18
28,Kimberly Myers,52,2016,20068,88902,850,1135.26,5,"783 Jessica Inlet Apt. 795, Lake Laura, MN 16490",hallann@example.org,1234567917,12-07-2005,Checking,33524.3,11671.69,70330.85
29,Desiree Cain,63,2010,22101,58227,408,3043.16,2,"56245 Ariel Courts, Ryanchester, MP 20730",hcain@example.org,1234567918,29-01-1963,Savings,30742.43,13052.86,120502
30,Stephanie Lawrence,69,2019,32275,67690,726,5984.16,3,"0869 Glen Harbor, Andrewmouth, MT 80983",jennifermann@example.net,1234567919,15-06-1989,Business,15715.41,5268.61,93227.49
31,Lauren Hayes,56,2023,4890,83070,774,895.67,1,"PSC 0039, Box 7288, APO AE 22659",kristenmorris@example.net,1234567920,05-06-1977,Savings,37962.4,10202.71,67074.98
32,Whitney Stark,75,2014,16450,36754,753,8233.52,5,"373 Christopher Squares Suite 081, Carterchester, PA 34707",floresbrandy@example.com,1234567921,23-01-2001,Business,35624.07,6275.95,125000.49
33,Angela Salazar,27,2015,18901,98301,385,2186.51,3,"Unit 3254 Box 7737, DPO AA 31430",lhowell@example.net,1234567922,04-01-2004,Business,10889.89,13078.29,99191.81
34,Mr. Ryan Sanchez,37,2022,46824,67174,708,3127.38,4,"3451 Chen Ville Apt. 172, Clarkmouth, AK 24750",csilva@example.com,1234567923,04-12-1978,Savings,30837.12,7771.82,49206.2
35,Autumn Robinson,24,2017,22638,14238,539,7831.91,1,"558 Bonnie Loop, New Jeffrey, LA 92090",ehuff@example.com,1234567924,06-02-1968,Business,10967.26,23513.14,104614.74
36,Faith Cabrera,64,2011,28114,53815,753,5016.13,2,"16551 Williams Prairie, Kaitlynburgh, CA 52093",richardlopez@example.net,1234567925,18-04-1955,Checking,724.52,20860.35,94191.25
37,Charles Wolfe,22,2010,22396,57887,345,2471.76,1,"Unit 3447 Box 0867, DPO AE 27056",dennisbennett@example.com,1234567926,12-03-2002,Business,23668.39,9422.25,65630.41
38,Kenneth Kent,75,2022,4680,96669,819,3366.61,1,"03415 Elaine Isle, West Cody, MP 27948",susan42@example.net,1234567927,23-08-1984,Checking,29867.66,29813.61,75787.38
39,Melanie Johnson,72,2020,6390,64597,778,8625.19,2,"13123 Jackson Plaza, West Megan, MH 91831",fgibbs@example.com,1234567928,25-10-2006,Business,13665.23,3013.28,97121
40,Lisa Johnston,61,2021,6102,22397,635,7898.52,4,"09318 Tran Ferry, South Robertstad, OK 07757",frederick66@example.net,1234567929,07-03-1993,Business,33912.63,15535.18,36833.95
41,Jacob Hooper,39,2023,3561,95570,610,8733.08,5,"9584 Hunt Ramp, Jesusside, GA 18131",fhansen@example.com,1234567930,16-10-1986,Checking,45960.41,17049.14,95227.32
42,Alex Woodward,48,2014,21526,94986,750,1967.99,4,"1821 Kennedy Canyon Suite 146, Delgadoport, MH 05403",vsantos@example.net,1234567931,08-11-1992,Savings,28929.32,24948.05,42744.39
43,Caleb Clark,53,2013,38339,35776,812,6682.28,2,"USCGC Weeks, FPO AP 57896",scottperez@example.com,1234567932,08-07-1973,Checking,35309.73,20384.61,81842.59
44,Taylor Johnson,24,2017,9819,27133,355,9741.63,1,"827 Amy Rue, Port William, NH 61058",angela30@example.org,1234567933,25-02-1974,Checking,39399.09,7057.82,55539.2
45,Brian Green,40,2020,49866,94061,673,1245.94,1,"0000 Quinn Harbor, Port Michael, OK 39080",natashajames@example.com,1234567934,18-12-1988,Savings,36455.58,17735.22,53024.76
46,Matthew Bell,45,2014,4437,73146,787,9292.36,2,"0322 Hale Station, East Karen, FL 09556",laurentanner@example.net,1234567935,18-01-1972,Checking,9628.66,5442.47,148518.75
47,Jonathan Williams,38,2018,20805,81682,790,3872.78,1,"12792 Elizabeth Track Suite 038, New Michaelberg, MD 53844",mdavis@example.com,1234567936,17-05-1951,Business,45351.41,3510.83,114617.64
48,William Gonzalez,57,2013,39747,68981,533,3835.27,2,"0900 Ashley Bridge, Fernandezport, WV 82992",kperez@example.net,1234567937,18-11-1982,Savings,21585.56,6730.04,138547.68
49,Nicholas Massey,58,2016,18323,49533,517,5205.57,5,"16238 Sanchez Corners, Patriciabury, OR 13556",travisjacobs@example.org,1234567938,14-06-1964,Savings,29180.96,16841.87,49777.93
50,Caroline Chambers,31,2011,40374,83722,384,2794.68,1,"6550 Davis Heights Suite 246, West Janetfort, GA 46512",wchavez@example.org,1234567939,12-12-1966,Savings,28176.05,1492.17,95689.4
51,Amy Lowe,53,2016,48682,56367,605,9620.15,2,"42507 Nicholas Walks, Millerhaven, OH 23592",benjamin43@example.com,1234567940,02-06-1957,Checking,1658.11,401.93,143247.07
52,Gloria King,48,2010,15613,81282,576,1735.15,3,"8265 Jones Stream, South Christopherborough, OK 40821",thomasharris@example.net,1234567941,06-08-1981,Savings,49816.68,24274.85,62734.44
53,Jessica Thompson,46,2010,43924,32903,340,9080.8,3,"25253 Sue Heights Apt. 183, West Amymouth, TX 68350",kristybarton@example.net,1234567942,25-10-1995,Checking,42381.99,25015.87,103151.51
54,Jason Carroll,73,2022,34815,14796,650,2721.78,4,"969 Martinez Mills, Cardenasmouth, MA 17238",dcastro@example.net,1234567943,12-11-1993,Savings,27063.68,28452.62,139869.6
55,Emily Howard,51,2011,22120,40386,389,1707.12,4,"PSC 1492, Box 7196, APO AA 04561",andrewcardenas@example.org,1234567944,22-02-1954,Checking,38717.68,13033.89,115847.24
56,Danielle Castro,34,2015,37226,47547,642,3231.81,5,"117 Richardson Route, Elainemouth, KS 96565",rossdonna@example.org,1234567945,04-08-1965,Savings,37009.72,2943.71,47407.22
57,Patrick Rogers,21,2010,15075,54126,803,4911.45,3,"6044 Barton Walk Apt. 468, Kelliestad, RI 51079",cathy74@example.com,1234567946,28-12-1995,Savings,10667.67,26974.67,113606.75
58,Douglas Allen,69,2014,14565,20536,832,3155.7,1,"35516 Vega Spring Apt. 648, Jakebury, OK 72766",lsims@example.net,1234567947,01-07-1983,Savings,21367.82,13933.08,93051.34
59,Heather Roberts,53,2014,10085,69706,462,5431.35,3,"19426 Jason Dam, Huntershire, AZ 29616",kimberly38@example.com,1234567948,25-12-1964,Business,32414.8,9021.54,56391.99
60,Travis Schultz,18,2010,41403,27865,467,7979.27,4,"89550 Sarah Ports, Erikland, CA 78272",ashley64@example.org,1234567949,26-06-2005,Savings,26599.34,29663.85,106506.85
61,Michelle Hughes,23,2010,30337,66179,534,4462.59,2,"949 Lopez Path, Michaelside, NY 83541",charles74@example.net,1234567950,12-11-1957,Business,46836.45,7088.27,94744.88
62,Matthew Smith,64,2010,25706,76028,850,9459.65,1,"94760 Thompson Pine Apt. 089, North Annabury, AZ 47769",dalexander@example.com,1234567951,09-07-1982,Checking,17310.84,12984.94,130900.79
63,George Allen,71,2019,47564,21825,346,1358.04,5,"8723 Christopher Estates Apt. 931, Colemanland, VI 77613",daughertydouglas@example.org,1234567952,16-08-1961,Savings,38053.15,21722.8,45055.19
64,Jamie Hutchinson,43,2010,11182,35246,707,5762.95,4,"Unit 1487 Box 3674, DPO AP 25123",estradadenise@example.net,1234567953,09-06-1987,Business,11931.89,23785.23,139301.05
65,Jennifer Morales,63,2012,6292,18898,484,4886.63,3,"688 Sanchez Hills, West Crystal, WA 10695",millerjoshua@example.com,1234567954,24-10-1958,Checking,17021.51,24916.85,103637.81
66,Jennifer Bates,70,2023,18300,77074,568,2286.7,3,"760 Leonard Port Suite 349, Carlastad, NC 35008",mbarajas@example.net,1234567955,12-05-1994,Savings,43760.71,5576.92,82063.5
67,Jeremy Green,68,2019,49838,32611,662,3322.46,4,"67558 Reginald Key, Booneburgh, ME 62491",janetpayne@example.net,1234567956,05-06-1999,Checking,48187.86,13112.08,141683.38
68,Joseph Freeman,60,2023,48496,19325,818,6542.02,3,"Unit 9115 Box 7405, DPO AA 95393",patrick84@example.org,1234567957,14-03-1990,Savings,18583.13,15246.85,143215.26
69,Nicole Henson,58,2012,48449,45123,492,9934.96,3,"1376 Sonya Street Suite 494, North Teresa, ME 08348",maria51@example.com,1234567958,03-11-1969,Savings,38810.69,12838.65,87925.15
70,Eric Owens PhD,18,2017,25611,61344,525,4465.81,4,"PSC 5231, Box 4882, APO AA 54994",allison93@example.com,1234567959,12-04-1985,Business,1722.37,11772.31,129133.89
71,Robin Lopez,57,2020,22491,37336,836,6671.26,3,"USNV Cole, FPO AP 39039",lewisbonnie@example.net,1234567960,26-08-1958,Savings,5967.78,5769.15,71232.87
72,Miss Angela Swanson DVM,49,2011,45502,75986,845,4704.18,2,"6058 Parker Cliff Suite 170, North Jennifer, OR 24888",deniseflores@example.net,1234567961,10-04-1995,Checking,19708.27,24872.84,87751.54
73,Michael Stewart,70,2019,22577,78741,383,8711.59,4,"029 Crystal Fort Suite 966, South Chelsea, CO 69681",austinnicolas@example.org,1234567962,21-12-1953,Savings,15062.15,6082.77,55342.45
74,Mitchell Smith,73,2012,20205,20852,503,4497.43,1,"54263 Bailey Underpass Suite 686, Smithshire, WY 25356",alikaren@example.net,1234567963,17-09-1959,Checking,49288.85,11910.2,126131.18
75,Kelsey Davis,39,2010,42687,52875,510,1785.59,1,"2387 Johnson Station, Lake Jamesberg, WI 00682",littlecraig@example.com,1234567964,25-09-1961,Business,6003.91,3088.86,30568.08
76,Matthew Russo,33,2021,29471,26322,447,7514.23,4,"7012 Melissa Extension Apt. 246, West Christopherbury, GA 42629",william16@example.org,1234567965,10-09-1961,Business,25942.97,12305.6,80495.99
77,William Garcia,64,2018,22694,98010,433,4733.04,4,"9569 Jessica Hollow, East Christinaport, IA 84477",taylorchristopher@example.com,1234567966,11-11-1971,Checking,15330.34,2057.42,120151.32
78,Jennifer Miller,38,2012,43434,11068,458,5005.77,4,"2285 Todd Inlet Apt. 592, Port Allison, ND 29809",tashamoore@example.com,1234567967,16-11-1992,Savings,20868.57,24591.99,35211.76
79,Jesse Sparks,63,2022,13769,86290,433,6158.54,1,"36458 Mcdaniel Center, South Richardshire, WV 98220",sarahtaylor@example.net,1234567968,24-04-1978,Checking,19533.45,16785.88,80368.2
80,Brandi Meyer,73,2011,42231,31476,812,6778.95,4,"5730 Turner Pine Apt. 785, South Matthew, ID 90016",burnsemily@example.com,1234567969,08-12-1998,Checking,25774.19,14088.1,107891.16
81,Hannah Wiggins,22,2011,2140,30168,515,1721.3,5,"466 Daniel Light, Howardland, RI 34141",jessica61@example.com,1234567970,19-05-1969,Checking,49047.21,27133.54,112828.86
82,Albert Williams,30,2021,43394,12045,699,8016.21,2,"202 Edwards Trail Apt. 997, South Kimberly, SC 33836",carla19@example.net,1234567971,28-08-1966,Checking,32900.67,11659.52,141526.04
83,Kristin Potts,54,2011,28764,26749,840,9830.14,3,"3503 Joseph Trail Apt. 966, North Timothy, IL 11388",kylebrandt@example.org,1234567972,16-02-1961,Business,41655.4,22873.58,75995.04
84,Susan Williams,32,2019,10495,30049,739,9371.71,1,"4493 Michael Port, Russoborough, OH 36479",andreawilson@example.com,1234567973,29-10-1975,Checking,35719.34,9678.09,77347.75
85,Meredith Rios,33,2022,21624,34414,836,3151.15,3,"6787 Hamilton Trace Suite 566, Hallport, UT 87953",cartersandra@example.com,1234567974,24-08-1990,Savings,21309.94,5704.79,80878.77
86,Stephanie Bowman,69,2020,5815,48320,605,2739.64,5,"37189 Daniel Knolls Apt. 639, Port Jonathon, MP 35593",kellermarie@example.net,1234567975,13-08-1981,Checking,28486.5,1661.94,129718.42
87,Joshua Clark,27,2011,9647,34523,550,2491.99,4,"383 Brianna Manors Suite 359, North Sarahfurt, DC 61135",lpierce@example.org,1234567976,16-10-1972,Business,30185.38,8305.75,116866.19
88,Alexa Hernandez,69,2013,16153,38395,361,2440.27,2,"905 Patricia Vista, Nicolemouth, FM 92645",iscott@example.org,1234567977,11-09-1957,Savings,22132.65,4467.72,146207.52
89,Richard Higgins,52,2023,35658,85126,796,6900.15,2,"9885 Harris Divide, South Michael, WY 65979",kgrimes@example.org,1234567978,28-12-1948,Checking,35358.92,5595,78417.32
90,Marc Williams,46,2011,9436,89711,438,4955.27,1,"8688 Tran Summit, Grantton, TX 20145",kristi63@example.org,1234567979,17-09-1964,Business,33138.51,25707.93,138156.83
91,William Roberts,23,2017,32681,15333,657,6263.08,5,"6548 Gonzalez Field Apt. 361, West Luisfort, HI 42244",ricecindy@example.org,1234567980,23-08-1970,Checking,48430.66,10400.72,22085.45
92,Joshua Carter,23,2016,21382,88315,402,9152.9,1,"30319 Morris Stream Apt. 270, North Susantown, AR 10975",cory32@example.net,1234567981,23-05-1981,Checking,47755.25,16149.98,78407.55
93,David Williams,38,2011,39337,33522,729,7022,3,"691 Conner Plain Apt. 908, Port Emily, NC 94407",martinmichelle@example.com,1234567982,21-09-1975,Business,22584.73,17282.83,101448.78
94,Joseph Jones,74,2011,4032,52776,404,9917.27,3,"632 Flores Fork Suite 415, Melanieton, IN 38697",jessica21@example.net,1234567983,19-12-1979,Checking,39284.9,13088.35,127711.46
95,Gary Perry,50,2017,30177,52804,377,535.15,3,"5807 Diane Wall Apt. 362, South Theresa, IA 63854",bakerjohn@example.net,1234567984,25-10-2006,Savings,8906.89,5225.6,53099.66
96,Terry Wells,49,2021,47892,64052,632,2289.99,5,"4926 Kelly Dale Suite 505, Hollandberg, FL 81456",kathryn99@example.com,1234567985,15-11-1981,Checking,17593.46,12528.58,45804
97,Vanessa Cooper,24,2023,29917,77095,555,9631.88,1,"02009 Richard Stream Suite 418, South Jennifer, VA 73718",umacdonald@example.org,1234567986,12-02-1961,Business,75.14,22105.97,125124.06
98,Michael Simmons,37,2017,36338,87455,831,1466.71,4,"51438 Desiree Circles Apt. 922, Jaredville, ND 30376",porterjessica@example.com,1234567987,24-09-1950,Business,20293.52,6395.93,78076.51
99,Nicholas Kline,53,2018,10636,77750,536,5945.8,2,"2533 Cohen Lodge Apt. 403, New Lawrence, NE 00852",drobinson@example.org,1234567988,26-08-2000,Checking,47396.32,24382.09,126961.19
100,Lori Bennett,36,2021,43618,33113,399,1798.22,5,"1000 Walls Loaf Apt. 998, Lake Carol, SC 64508",jtorres@example.com,1234567989,10-07-1959,Business,41635.92,8971.83,77925.31
101,Margaret Jones,63,2012,33884,94208,338,3063.14,2,"286 Lowery Springs, Alexandriamouth, OH 42699",kelly12@example.org,1234567990,30-07-1976,Business,33229.97,8747.74,112135.49
102,Paul Brown,25,2018,26423,84393,338,2992.65,4,"1009 Brown Knoll Suite 147, Michelemouth, WI 84220",gutierrezkim@example.org,1234567991,26-10-1960,Business,39955.22,1487.71,137450.29
103,James Stone,53,2011,6612,51557,614,9282.95,1,"2878 Cesar Mission, Ashleehaven, MS 47304",michaelallen@example.net,1234567992,30-07-2001,Checking,42611.74,11242.67,105872.65
104,John Richards,39,2012,40931,77771,720,2196.48,4,"651 John Station Suite 209, New Josefort, IN 50220",gmcintyre@example.com,1234567993,01-10-1970,Business,34527.52,22212.47,137247.62
105,Jenny Richardson,70,2023,40801,48358,652,3577.88,1,"368 Michele Village Suite 399, Lake Megan, WI 23140",ggonzalez@example.org,1234567994,08-05-1949,Savings,35368.56,15908.82,36477.56
106,Debbie Waters MD,52,2015,16582,28978,396,3627.19,3,"1692 Howard Court, East Isabelhaven, WI 74431",davidrivers@example.com,1234567995,31-05-2004,Savings,40492.65,7602.12,60666.26
107,Austin Boyer,31,2021,30975,61242,322,4002.32,2,"7814 Shepard Groves, Greenchester, AS 19675",tylermichael@example.net,1234567996,21-09-1963,Checking,48316.11,16733.73,122814.97
108,Stephanie Hayes,69,2023,42677,97795,323,6498.3,1,"32606 Alexandra Extensions, Smithhaven, VI 30625",jgarcia@example.org,1234567997,29-07-1984,Checking,28100.09,4871.01,137601.02
109,Barbara Sanders,56,2016,28307,69858,425,6293.81,2,"1917 Margaret Mews Suite 199, Timothyview, WA 37061",suzanne07@example.org,1234567998,22-09-2002,Checking,34127.67,1474.98,42182.16
110,Andrew Gould,53,2018,36855,25386,352,3153.54,5,"31917 James Harbors Apt. 290, Lake Michael, SD 05639",harrisjoyce@example.net,1234567999,28-12-1981,Savings,12967.48,7246.1,59153.65
111,Charles Gonzalez,55,2012,22443,33177,565,6290.79,4,"USS Leonard, FPO AE 35589",zachary06@example.net,1234568000,22-04-1972,Business,3098.5,28224.96,89771.72
112,Joshua Hernandez,36,2011,37474,43825,652,3236.19,1,"31264 Howard Roads Suite 613, Mooreland, MH 10792",christopherdonovan@example.org,1234568001,25-04-1960,Checking,32215.54,5872.83,45373.13
113,Victoria Hernandez MD,46,2020,15718,30617,834,3283.07,3,"5371 Megan Trail Apt. 132, Nancyfort, KY 43870",riverasandra@example.net,1234568002,19-03-1976,Savings,44046.06,9885.54,105445.21
114,Sherry Simpson,23,2018,3886,93480,679,5642.04,4,"4138 Roberson Station Suite 769, South Scottchester, WY 18238",theresa89@example.com,1234568003,16-08-1986,Checking,47284.03,27694.59,140163.36
115,Erica Jimenez,56,2010,2372,58221,558,6860.53,4,"7493 David Turnpike Suite 493, Clarkborough, SD 88804",dholmes@example.org,1234568004,20-10-2003,Checking,18562.15,27712.08,133931.94
116,Mr. Dakota Lynch II,69,2021,19025,67620,404,7375.17,5,"940 Jacob Cove Suite 924, Dennisshire, HI 79184",annaeverett@example.org,1234568005,21-12-1950,Business,27932.15,22981.64,34966.02
117,Victor Nolan,42,2018,41110,50117,374,8987.11,4,"57949 Roberts Highway Apt. 590, Port Joshua, NC 02287",karenrobinson@example.com,1234568006,14-08-1968,Savings,2118.59,22330.02,36564.46
118,Amanda Hernandez,38,2013,27307,41414,530,6102.09,3,"0920 Kimberly Inlet Apt. 332, Raymondshire, ME 73357",amandawalsh@example.net,1234568007,18-11-1998,Checking,24242.22,6041.69,98392.8
119,Richard Kirby,54,2011,46336,15757,606,8423.73,3,"Unit 2525 Box 9247, DPO AA 16229",john25@example.net,1234568008,21-02-1996,Savings,2026.68,18983.74,96986.27
120,Michelle Roman,33,2021,10469,68868,571,2067.79,4,"62218 Kristin Ridge, East Jaclyn, OH 33685",zlittle@example.net,1234568009,20-11-1960,Business,16457.01,19339.69,94029.49
121,Bradley Melton,36,2022,15366,61121,838,8385.05,5,"8415 Howell Drive, Pottsmouth, MN 98926",ronaldjohnson@example.net,1234568010,17-08-1989,Checking,44550.72,7127.73,24888.22
122,Danny Williams,29,2016,16047,92562,352,5607.59,4,"524 Russo Estate, Andreaview, MN 60772",qcurry@example.org,1234568011,21-07-1959,Business,19463.62,24030.13,87550.61
123,Ryan Rivera,30,2015,43062,11147,701,629.49,1,"413 Wise Lodge Suite 337, Rachelburgh, NC 01745",vanessa67@example.net,1234568012,01-06-1976,Business,30619.74,24836.17,124883.72
124,Charles Douglas,70,2018,41619,50325,837,7847.89,3,"2993 Lewis Court Apt. 519, Lisafort, MO 17139",andrewroberts@example.com,1234568013,08-09-1973,Checking,2546.1,17405.57,26613.31
125,Kathy Santana,29,2015,28192,34692,436,4259.64,1,"3128 Lori Ridge, Charlesville, CO 64197",erin60@example.net,1234568014,17-10-2003,Checking,11025.73,15618.13,143508.49
126,Laura Gregory,20,2018,40021,76350,404,6388.16,1,"4322 Young Crossing, East Aaron, LA 73167",marcussanchez@example.net,1234568015,01-11-1980,Business,35015.99,1260.79,107400.82
127,Norma Mooney,57,2021,33963,94839,614,9381.33,1,"21338 Frey Square, Amberfort, OR 39886",dacevedo@example.com,1234568016,05-06-1965,Checking,48223.99,129.25,126035.15
128,Susan Harris,60,2019,12475,21808,353,8984.09,2,"37528 Spence Square, Greenburgh, AR 72784",romerojennifer@example.net,1234568017,28-11-1986,Checking,40748.69,1332.52,68301.78
129,Linda Petersen,34,2018,10564,87900,422,7922.54,3,"035 Aguirre Fords, Port Jacob, IN 36107",santanaandrew@example.com,1234568018,10-04-1966,Checking,12462.22,27129.52,143363.87
130,Dr. James Willis,48,2016,44693,42042,537,3396.66,5,"958 Hartman Divide, New Debraborough, FL 70052",lmiller@example.net,1234568019,06-06-1969,Business,8844.17,29018.85,124195.01
131,Rebecca Sandoval,22,2014,4297,56039,437,1681.82,1,"34025 Mcdonald Groves Suite 678, Garnerfurt, ME 54978",lmiranda@example.com,1234568020,27-07-1978,Savings,35272.23,12764.12,31072.38
132,Christopher Hunter,23,2013,49516,40633,358,6468.89,1,"96318 Jasmin Bypass, Loweberg, MI 37822",cohennicole@example.org,1234568021,27-12-2001,Checking,41273.54,24939.28,29357.22
133,Austin Heath,61,2019,16819,33903,752,2812.6,5,"6649 Bond Manor, Grayland, NY 73301",wardjacqueline@example.org,1234568022,24-04-1978,Savings,1700.69,4190.78,98802.24
134,Elizabeth Russell,66,2021,7382,44477,368,2342.31,1,"374 Roy Station, New Jessicamouth, NV 49473",fbright@example.org,1234568023,16-05-1967,Savings,11604.33,15299.56,138816.54
135,Amy Davidson,26,2011,39403,21818,647,9431.29,1,"467 Patrick Parkways Apt. 060, Jimenezstad, OR 03395",jessica66@example.net,1234568024,21-03-1959,Checking,37083.8,29824.68,98445.61
136,Dustin Greer,74,2012,1265,54135,422,4282.06,4,"588 Isabella Crossing, Coxstad, SC 45124",brichardson@example.net,1234568025,22-10-1996,Checking,26842.79,19930.19,112944.81
137,Andrew Butler,27,2019,16622,32307,657,6105.51,2,"4018 Benson Parkways Apt. 059, Josephshire, PA 44010",goneal@example.net,1234568026,21-01-1965,Business,37200.36,12786.32,101825.55
138,Scott Love DDS,20,2016,39327,86365,626,5780.6,1,"4553 Kevin Bridge, Singletonshire, ME 65763",ortizpaul@example.net,1234568027,14-06-1951,Business,28200.34,10180.06,112144.88
139,William Jenkins,71,2023,8549,94427,356,4329.06,5,"PSC 8179, Box 2060, APO AA 71072",robertroman@example.org,1234568028,04-10-1996,Checking,36050.21,4239.82,113802.97
140,Jasmine Williams,23,2022,5167,87701,727,9730,4,"2620 Sanchez Islands, New Taraburgh, NY 23048",wjones@example.com,1234568029,17-09-1978,Savings,37661.84,343.62,89667.71
141,Christian Johnson,75,2015,43538,20903,378,8986.99,5,"PSC 0315, Box 6297, APO AA 03066",sean99@example.com,1234568030,02-04-1968,Savings,46518.09,26504.88,47016.01
142,Lorraine Garcia,62,2021,3710,22661,581,8285.21,5,"295 Kimberly Trace Apt. 616, New Henryberg, FL 66981",brooksmitchell@example.com,1234568031,09-06-1964,Checking,48027.06,21359.94,37418.88
